"filename", "language", "Python", "Markdown", "YAML", "MS SQL", "JSON", "comment", "blank", "total"
"e:\projetos\pie\personal_intelligence_engine\app\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\adapters\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\adapters\fake_extractor.py", "Python", 51, 0, 0, 0, 0, 34, 12, 97
"e:\projetos\pie\personal_intelligence_engine\app\adapters\local_llm_extractor.py", "Python", 271, 0, 0, 0, 0, 15, 53, 339
"e:\projetos\pie\personal_intelligence_engine\app\adapters\markdown_writer.py", "Python", 75, 0, 0, 0, 0, 23, 23, 121
"e:\projetos\pie\personal_intelligence_engine\app\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\cli\commands.py", "Python", 562, 0, 0, 0, 0, 98, 101, 761
"e:\projetos\pie\personal_intelligence_engine\app\config.py", "Python", 111, 0, 0, 0, 0, 8, 13, 132
"e:\projetos\pie\personal_intelligence_engine\app\domain\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\domain\schemas.py", "Python", 218, 0, 0, 0, 0, 36, 71, 325
"e:\projetos\pie\personal_intelligence_engine\app\domain\types.py", "Python", 37, 0, 0, 0, 0, 7, 19, 63
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\__init__.py", "Python", 23, 0, 0, 0, 0, 1, 3, 27
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\report.py", "Python", 77, 0, 0, 0, 0, 3, 17, 97
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\runner.py", "Python", 103, 0, 0, 0, 0, 10, 30, 143
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\scoring.py", "Python", 103, 0, 0, 0, 0, 15, 46, 164
"e:\projetos\pie\personal_intelligence_engine\app\main.py", "Python", 494, 0, 0, 0, 0, 77, 72, 643
"e:\projetos\pie\personal_intelligence_engine\app\prompts\extraction_prompt.md", "Markdown", 0, 31, 0, 0, 0, 0, 7, 38
"e:\projetos\pie\personal_intelligence_engine\app\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\repositories\audit_repository.py", "Python", 34, 0, 0, 0, 0, 10, 9, 53
"e:\projetos\pie\personal_intelligence_engine\app\repositories\database.py", "Python", 91, 0, 0, 0, 0, 25, 24, 140
"e:\projetos\pie\personal_intelligence_engine\app\repositories\entries_repository.py", "Python", 256, 0, 0, 0, 0, 145, 24, 425
"e:\projetos\pie\personal_intelligence_engine\app\repositories\reports_repository.py", "Python", 29, 0, 0, 0, 0, 9, 8, 46
"e:\projetos\pie\personal_intelligence_engine\app\repositories\revisions_repository.py", "Python", 31, 0, 0, 0, 0, 14, 8, 53
"e:\projetos\pie\personal_intelligence_engine\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\services\audit_service.py", "Python", 23, 0, 0, 0, 0, 11, 8, 42
"e:\projetos\pie\personal_intelligence_engine\app\services\backup_export_service.py", "Python", 119, 0, 0, 0, 0, 18, 36, 173
"e:\projetos\pie\personal_intelligence_engine\app\services\extraction_service.py", "Python", 12, 0, 0, 0, 0, 16, 11, 39
"e:\projetos\pie\personal_intelligence_engine\app\services\ingestion_service.py", "Python", 17, 0, 0, 0, 0, 10, 10, 37
"e:\projetos\pie\personal_intelligence_engine\app\services\markdown_service.py", "Python", 20, 0, 0, 0, 0, 11, 7, 38
"e:\projetos\pie\personal_intelligence_engine\app\services\report_service.py", "Python", 335, 0, 0, 0, 0, 58, 71, 464
"e:\projetos\pie\personal_intelligence_engine\app\services\reprocess_service.py", "Python", 173, 0, 0, 0, 0, 20, 31, 224
"e:\projetos\pie\personal_intelligence_engine\app\services\validation_service.py", "Python", 32, 0, 0, 0, 0, 13, 9, 54
"e:\projetos\pie\tests\conftest.py", "Python", 24, 0, 0, 0, 0, 4, 9, 37
"e:\projetos\pie\tests\fixtures\extraction_quality_cases.json", "JSON", 0, 0, 0, 0, 137, 0, 1, 138
"e:\projetos\pie\tests\fixtures\prompt_regression_cases.json", "JSON", 0, 0, 0, 0, 62, 0, 1, 63
"e:\projetos\pie\tests\test_audit_log.py", "Python", 129, 0, 0, 0, 0, 13, 28, 170
"e:\projetos\pie\tests\test_backup_export_cli.py", "Python", 135, 0, 0, 0, 0, 25, 53, 213
"e:\projetos\pie\tests\test_cli.py", "Python", 52, 0, 0, 0, 0, 2, 28, 82
"e:\projetos\pie\tests\test_daily_report.py", "Python", 138, 0, 0, 0, 0, 18, 40, 196
"e:\projetos\pie\tests\test_database_schema.py", "Python", 200, 0, 0, 0, 0, 36, 36, 272
"e:\projetos\pie\tests\test_entries_cli.py", "Python", 196, 0, 0, 0, 0, 80, 121, 397
"e:\projetos\pie\tests\test_extraction_quality_cli.py", "Python", 41, 0, 0, 0, 0, 1, 19, 61
"e:\projetos\pie\tests\test_extraction_quality_fixtures.py", "Python", 70, 0, 0, 0, 0, 1, 29, 100
"e:\projetos\pie\tests\test_extraction_quality_report.py", "Python", 74, 0, 0, 0, 0, 1, 14, 89
"e:\projetos\pie\tests\test_extraction_quality_runner.py", "Python", 86, 0, 0, 0, 0, 2, 22, 110
"e:\projetos\pie\tests\test_extraction_quality_scoring.py", "Python", 79, 0, 0, 0, 0, 1, 32, 112
"e:\projetos\pie\tests\test_extraction_service.py", "Python", 17, 0, 0, 0, 0, 1, 8, 26
"e:\projetos\pie\tests\test_extractor_selection.py", "Python", 79, 0, 0, 0, 0, 1, 34, 114
"e:\projetos\pie\tests\test_fake_extractor.py", "Python", 54, 0, 0, 0, 0, 11, 17, 82
"e:\projetos\pie\tests\test_ingestion.py", "Python", 61, 0, 0, 0, 0, 11, 23, 95
"e:\projetos\pie\tests\test_local_llm_extractor.py", "Python", 150, 0, 0, 0, 0, 1, 59, 210
"e:\projetos\pie\tests\test_markdown_generation.py", "Python", 47, 0, 0, 0, 0, 11, 15, 73
"e:\projetos\pie\tests\test_prompt_contract.py", "Python", 25, 0, 0, 0, 0, 1, 10, 36
"e:\projetos\pie\tests\test_reprocess_cli.py", "Python", 475, 0, 0, 0, 0, 34, 128, 637
"e:\projetos\pie\tests\test_review_cli.py", "Python", 353, 0, 0, 0, 0, 21, 145, 519
"e:\projetos\pie\tests\test_schema.py", "Python", 113, 0, 0, 0, 0, 7, 26, 146
"e:\projetos\pie\tests\test_smoke_simulation.py", "Python", 594, 0, 0, 0, 0, 112, 197, 903
"e:\projetos\pie\tests\test_structured_entry_revisions.py", "Python", 90, 0, 0, 0, 0, 1, 21, 112
"e:\projetos\pie\tests\test_weekly_project_reports.py", "Python", 443, 0, 0, 0, 0, 48, 86, 577
"Total", "-", 7023, 1926, 32, 158, 232, 1147, 2695, 13213
