"filename", "language", "JSON", "Markdown", "Python", "MS SQL", "YAML", "comment", "blank", "total"
"e:\projetos\pie\personal_intelligence_engine\app\services\ingestion_service.py", "Python", 0, 0, 17, 0, 0, 10, 10, 37
"e:\projetos\pie\personal_intelligence_engine\app\services\markdown_service.py", "Python", 0, 0, 20, 0, 0, 11, 7, 38
"e:\projetos\pie\personal_intelligence_engine\app\services\report_service.py", "Python", 0, 0, 335, 0, 0, 58, 71, 464
"e:\projetos\pie\personal_intelligence_engine\app\services\reprocess_service.py", "Python", 0, 0, 180, 0, 0, 20, 31, 231
"e:\projetos\pie\personal_intelligence_engine\app\services\validation_service.py", "Python", 0, 0, 32, 0, 0, 13, 9, 54
"e:\projetos\pie\tests\conftest.py", "Python", 0, 0, 24, 0, 0, 4, 9, 37
"e:\projetos\pie\tests\fixtures\extraction_quality_cases.json", "JSON", 137, 0, 0, 0, 0, 0, 1, 138
"e:\projetos\pie\tests\fixtures\prompt_regression_cases.json", "JSON", 62, 0, 0, 0, 0, 0, 1, 63
"e:\projetos\pie\tests\test_add_overrides.py", "Python", 0, 0, 302, 0, 0, 61, 87, 450
"e:\projetos\pie\tests\test_audit_log.py", "Python", 0, 0, 129, 0, 0, 13, 29, 171
"e:\projetos\pie\tests\test_backup_export_cli.py", "Python", 0, 0, 149, 0, 0, 25, 59, 233
"e:\projetos\pie\tests\test_cli.py", "Python", 0, 0, 69, 0, 0, 2, 32, 103
"e:\projetos\pie\tests\test_config.py", "Python", 0, 0, 16, 0, 0, 1, 6, 23
"e:\projetos\pie\tests\test_daily_report.py", "Python", 0, 0, 138, 0, 0, 18, 40, 196
"e:\projetos\pie\tests\test_database_schema.py", "Python", 0, 0, 200, 0, 0, 36, 36, 272
"e:\projetos\pie\tests\test_entries_cli.py", "Python", 0, 0, 199, 0, 0, 80, 121, 400
"e:\projetos\pie\tests\test_extraction_quality_cli.py", "Python", 0, 0, 41, 0, 0, 1, 19, 61
"e:\projetos\pie\tests\test_extraction_quality_fixtures.py", "Python", 0, 0, 70, 0, 0, 1, 29, 100
"e:\projetos\pie\tests\test_extraction_quality_report.py", "Python", 0, 0, 74, 0, 0, 1, 14, 89
"e:\projetos\pie\tests\test_extraction_quality_runner.py", "Python", 0, 0, 86, 0, 0, 2, 22, 110
"e:\projetos\pie\tests\test_extraction_quality_scoring.py", "Python", 0, 0, 79, 0, 0, 1, 32, 112
"e:\projetos\pie\tests\test_extraction_service.py", "Python", 0, 0, 17, 0, 0, 1, 8, 26
"e:\projetos\pie\tests\test_extractor_selection.py", "Python", 0, 0, 79, 0, 0, 1, 34, 114
"e:\projetos\pie\tests\test_fake_extractor.py", "Python", 0, 0, 54, 0, 0, 11, 18, 83
"e:\projetos\pie\tests\test_ingestion.py", "Python", 0, 0, 81, 0, 0, 12, 29, 122
"e:\projetos\pie\tests\test_local_llm_extractor.py", "Python", 0, 0, 150, 0, 0, 1, 59, 210
"e:\projetos\pie\tests\test_main_static.py", "Python", 0, 0, 4, 0, 0, 1, 5, 10
"e:\projetos\pie\tests\test_markdown_generation.py", "Python", 0, 0, 60, 0, 0, 11, 19, 90
"e:\projetos\pie\tests\test_prompt_contract.py", "Python", 0, 0, 25, 0, 0, 1, 10, 36
"e:\projetos\pie\tests\test_reprocess_cli.py", "Python", 0, 0, 505, 0, 0, 34, 151, 690
"e:\projetos\pie\tests\test_review_cli.py", "Python", 0, 0, 389, 0, 0, 21, 157, 567
"e:\projetos\pie\tests\test_robustness_features.py", "Python", 0, 0, 258, 0, 0, 37, 80, 375
"e:\projetos\pie\tests\test_schema.py", "Python", 0, 0, 113, 0, 0, 7, 26, 146
"e:\projetos\pie\tests\test_smoke_simulation.py", "Python", 0, 0, 603, 0, 0, 102, 198, 903
"e:\projetos\pie\tests\test_structured_entry_revisions.py", "Python", 0, 0, 90, 0, 0, 1, 21, 112
"e:\projetos\pie\tests\test_weekly_project_reports.py", "Python", 0, 0, 443, 0, 0, 48, 86, 577
"Total", "-", 232, 2212, 8153, 223, 32, 1397, 3072, 15321
